location_id,location_name,sensor_id,parameter,value,datetime_utc,lat,lon
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",6.3,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",10.0,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",10.8,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",14.4,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",12.7,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",14.7,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",12.7,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",11.5,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",9.8,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",8.2,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",6.5,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",6.0,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",7.5,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",10.3,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",7.0,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",6.8,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",7.6,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",5.6,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",4.6,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",4.9,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",5.4,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",6.8,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",6.3,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",8.1,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",9.6,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",13.7,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",14.2,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",9.6,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",13.0,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",12.5,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",10.5,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",11.7,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",9.8,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",10.8,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",7.5,,-33.673752071375,-70.953064737434
